,precision,recall,f1-score,support
A,0.9883720930232558,1.0,0.9941520467836257,85.0
B,0.9830508474576272,0.9508196721311475,0.9666666666666667,61.0
C,0.9661016949152542,0.9661016949152542,0.9661016949152542,59.0
D,0.9857142857142858,0.9857142857142858,0.9857142857142858,70.0
E,0.9841269841269841,1.0,0.992,62.0
F,0.9864864864864865,1.0,0.9931972789115646,73.0
G,1.0,0.9838709677419355,0.991869918699187,62.0
H,0.9863013698630136,1.0,0.993103448275862,72.0
I,1.0,0.9710144927536232,0.9852941176470589,69.0
J,1.0,1.0,1.0,73.0
K,0.9759036144578314,1.0,0.9878048780487805,81.0
L,0.9696969696969697,0.9846153846153847,0.9770992366412213,65.0
M,1.0,1.0,1.0,89.0
N,0.9863013698630136,0.9863013698630136,0.9863013698630136,73.0
O,0.9836065573770492,1.0,0.9917355371900827,60.0
P,1.0,0.9672131147540983,0.9833333333333333,61.0
Q,0.9852941176470589,0.9852941176470589,0.9852941176470589,68.0
R,0.972972972972973,0.9863013698630136,0.9795918367346939,73.0
S,0.9897959183673469,1.0,0.9948717948717949,97.0
T,1.0,0.9402985074626866,0.9692307692307692,67.0
U,0.9879518072289156,1.0,0.9939393939393939,82.0
V,1.0,0.9722222222222222,0.9859154929577465,72.0
W,0.9594594594594594,1.0,0.9793103448275862,71.0
X,1.0,0.9466666666666667,0.9726027397260274,75.0
Y,1.0,1.0,1.0,70.0
Z,0.9871794871794872,1.0,0.9935483870967742,77.0
space,0.971830985915493,1.0,0.9857142857142858,69.0
