,precision,recall,f1-score,support
A,0.0,0.0,0.0,85.0
B,0.0,0.0,0.0,61.0
C,0.0,0.0,0.0,59.0
D,0.0,0.0,0.0,70.0
E,0.0,0.0,0.0,62.0
F,0.0,0.0,0.0,73.0
G,0.0,0.0,0.0,62.0
H,0.0,0.0,0.0,72.0
I,0.0,0.0,0.0,69.0
J,0.0,0.0,0.0,73.0
K,0.0,0.0,0.0,81.0
L,0.75,0.046153846153846156,0.08695652173913043,65.0
M,0.04630593132154006,1.0,0.08851317752362009,89.0
N,0.0,0.0,0.0,73.0
O,0.0,0.0,0.0,60.0
P,0.0,0.0,0.0,61.0
Q,0.75,0.04411764705882353,0.08333333333333333,68.0
R,0.0,0.0,0.0,73.0
S,0.4,0.020618556701030927,0.0392156862745098,97.0
T,0.0,0.0,0.0,67.0
U,0.0,0.0,0.0,82.0
V,0.0,0.0,0.0,72.0
W,0.0,0.0,0.0,71.0
X,0.0,0.0,0.0,75.0
Y,0.0,0.0,0.0,70.0
Z,0.0,0.0,0.0,77.0
space,0.0,0.0,0.0,69.0
